ID,Genus,subgenus,Taxon/species,Stage_mean,Type,Latitude,Longitude
173,Quercus,Cerris,Quercus sp.,Rupelian,macrofossil,23.33333333,104.25
1935,Quercus,Cerris,Quercus lonchitis Unger 1850 s. Erdei 2006,Rupelian,macrofossil,47.53,19.03
1821,Quercus,Cerris,Quercus lonchitis Unger 1850 s. Erdei 2006,Rupelian,macrofossil,47.9,20.4
1788,Quercus,Cerris,Quercus lonchitis Unger 1850,Chattian,macrofossil,51.25,12.45
1961,Quercus,Cerris,Quercus lonchitis Unger 1850 s. Erdei 2006,Chattian,macrofossil,50.68,7.52
1836,Quercus,Cerris,Quercus cf. lonchitis,Chattian,macrofossil,50.62,7.88
169,Quercus,Cerris,Quercus elegans J. Huang et Z.K. Zhou sp. nov.,Rupelian,macrofossil,23.33333333,104.25
172,Quercus,Cerris,Quercus robustiphylla J. Huang et Z.K. Zhou sp. nov.,Rupelian,macrofossil,23.33333333,104.25
1859,Quercus,Cerris,Quercus lonchitis UNGER 1850,Rupelian,macrofossil,50.93,14.6
92,Quercus,Cerris,Quercus consimilis Newberry,Rupelian,macrofossil,44.435586,-118.940429
435,Quercus,Cerris,Quercus scudderi Knowlton,Priabonian,macrofossil,38.965589,-105.285327
2389,Quercus,Cerris,Quercus ishikariensis Tanai,Priabonian,macrofossil,42.4,130.5
1411,Quercus,Cerris,Quercus scottii,Priabonian,macrofossil,26.544845,99.89743
1412,Quercus,Cerris,Quercus spathulata,Priabonian,macrofossil,26.544845,99.89743
1414,Quercus,Cerris,Quercus semecarpifolia,Priabonian,macrofossil,26.544845,99.89743
1415,Quercus,Cerris,Quercus pannosa,Priabonian,macrofossil,26.544845,99.89743
1416,Quercus,Cerris,Quercus monimotricha,Priabonian,macrofossil,26.544845,99.89743
1417,Quercus,Cerris,Quercus gilliana,Priabonian,macrofossil,26.544845,99.89743
41,Quercus,Cerris,Quercus paleohypargyrea X-Y Liu et J-H Jin sp. nov.,Lutetian,macrofossil,19.63416667,110.4511111
42,Quercus,Cerris,Quercus paleolamellosa X-Y Liu et J-H Jin sp. nov.,Lutetian,macrofossil,19.63416667,110.4511111
43,Quercus,Cerris,Quercus cf. myrsinifolia Blume,Lutetian,macrofossil,19.63416667,110.4511111
44,Quercus,Cerris,Quercus paleoargyrotricha X-Y Liu et J-H Jin sp. nov.,Lutetian,macrofossil,19.63416667,110.4511111
45,Quercus,Cerris,Quercus changchangensis X-Y Liu et J-H Jin sp. nov.,Lutetian,macrofossil,19.63416667,110.4511111
2349,Quercus,Cerris,Quercus kryshtofovichii Klim.,Rupelian,macrofossil,44.1,132.4
2351,Quercus,Cerris,Quercus miovariabilis Hu et Chaney,Rupelian,macrofossil,44.1,132.4
2353,Quercus,Cerris,Quercus simulata Knowlt.,Rupelian,macrofossil,44.1,132.4
2354,Quercus,Cerris,Quercus ussuriensis Krysht.,Rupelian,macrofossil,44.1,132.4
2453,Quercus,Cerris,Quercus aff. ishikariensis Tanai,Lutetian,macrofossil,43.2,131.05
2381,Quercus,Cerris,Quercus cf. sinomiocenicum Hu et Chaney,Rupelian,macrofossil,46.05,137.5
2372,Quercus,Cerris,Quercus miovariabilis Hu et Chaney,Rupelian,macrofossil,45.4,137.1
2373,Quercus,Cerris,Quercus ussuriensis Krysht.,Rupelian,macrofossil,45.4,137.1
1758,Quercus,Cerris,Quercus lonchitis Unger 1850 s. Erdei 2006,Rupelian,macrofossil,47.55,19.02
2702,Quercus,Cerris,Quercus mandraliscae (Gaudin) Tanai,Rupelian,macrofossil,34.712448,135.085891
152,Quercus,Cerris,Quercus paleolamellosa X-Y Liu et J-H Jin,Rupelian,macrofossil,21.04520278,107.0322861
2652,Quercus,Cerris,Quercus alexeevii Pojarkova,Chattian,macrofossil,47.47442,84.880516
1997,Quercus,Cerris,Quercus lonchitis Unger 1850 s. Erdei 2006,Rupelian,macrofossil,41.78,43.42
74,Quercus,Cerris,"Quercus subhercynica Walther & Kva?ek, spec. nova",Lutetian,macrofossil,51.832737,10.783473
1800,Quercus,Cerris,Cyclobalanopsis stojanovii Palam. & Kitan.,Rupelian,macrofossil,41.87,23.18
1803,Quercus,Cerris,Quercus coccifera L. foss.,Rupelian,macrofossil,41.87,23.18
1804,Quercus,Cerris,Quercus drymeja Unger 1847,Rupelian,macrofossil,41.87,23.18
1806,Quercus,Cerris,Quercus mediterranea,Rupelian,macrofossil,41.87,23.18
1952,Quercus,Cerris,Quercus mediterranea,Rupelian,macrofossil,41.53,24.78
1770,Quercus,Cerris,Quercus drymeja Unger 1847,Chattian,macrofossil,42.37,23.02
1768,Quercus,Cerris,Quercus drymeja Unger 1847,Chattian,macrofossil,42.37,23.02
1823,Quercus,Cerris,Quercus indjatschaensis Kassumova,Rupelian,macrofossil,41.87,23.58
2301,Quercus,Cerris,Cyclobalanopsis chasanica Pavlyutkin,Rupelian,macrofossil,42.45,130.4
2302,Quercus,Cerris,Cyclobalanopsis huziokae Tanai,Rupelian,macrofossil,42.45,130.4
2303,Quercus,Cerris,Cyclobalanopsis mandraliscae (Gaudin) Tanai,Rupelian,macrofossil,42.45,130.4
2304,Quercus,Cerris,Cyclobalanopsis paucinervis Pavlyutkin,Rupelian,macrofossil,42.45,130.4
2305,Quercus,Cerris,Cyclobalanopsis yabei Huz.,Rupelian,macrofossil,42.45,130.4
2306,Quercus,Cerris,Cyclobalanopsis sp.,Rupelian,macrofossil,42.45,130.4
2320,Quercus,Cerris,Quercus gracilis (Pavlyutkin) Pavlyutkin,Rupelian,macrofossil,42.45,130.4
2321,Quercus,Cerris,Quercus ishikariensis Tanai,Rupelian,macrofossil,42.45,130.4
2323,Quercus,Cerris,Quercus miovariabilis Hu et Chaney,Rupelian,macrofossil,42.45,130.4
2326,Quercus,Cerris,Quercus ussuriensis Krysht.,Rupelian,macrofossil,42.45,130.4
2650,Quercus,Cerris,Quercus cerverensis Sanz de Siria,Rupelian,macrofossil,41.711224,2.159206
2703,Quercus,Cerris,Quercus ezoana Tanai,Rupelian,macrofossil,43.820848,143.857766
900,Quercus,Cerris,Quercus lonchitis Ung.,Priabonian,macrofossil,42.26596,22.680995
2651,Quercus,Cerris,Quercus pseudoalexeevii Vikulin,Rupelian,macrofossil,49.861727,39.729672
1847,Quercus,Cerris,Quercus lonchitis Unger 1850,Chattian,macrofossil,51.27,14.62
1852,Quercus,Cerris,Quercus praekubinyii Walther & Kvacek in prep.,Chattian,macrofossil,51.27,14.62
2699,Quercus,Cerris,Quercus sp.,Lutetian,macrofossil,41.8,123.9
2704,Quercus,Cerris,Quercus alexeevii Pojarkova,Rupelian,macrofossil,50.28,57.17
2705,Quercus,Cerris,Quercus drymeja Unger,Rupelian,macrofossil,50.28,57.17
2706,Quercus,Cerris,Quercus alexeevii Pojarkova,Rupelian,macrofossil,49.453458,79.770874
