FBD_tiplabel,renameSequencingData,Name.v3,nicheRecon,genus,gen_sect.abb
CYthorelii_P001_WD06_A_0,CYthorelii_P001_WD06_A,Quercus_thorelii,Y,Quercus,CY
CYtiaoloshanica_P001_WD07_A_0,CYtiaoloshanica_P001_WD07_A,Quercus_tiaoloshanica,Y,Quercus,CY
CYxanthoclada_P002_WF03_A_0,CYxanthoclada_P002_WF03_A,Quercus_xanthoclada,Y,Quercus,CY
CYxanthotricha_P017_WB06_A_0,CYxanthotricha_P017_WB06_A,Quercus_xanthotricha,Y,Quercus,CY
ILacrodonta_P005_WD08_A_0,ILacrodonta_P005_WD08_A,Quercus_acrodonta,Y,Quercus,IL
ILaquifolioides_F079_WB02_A_0,ILaquifolioides_F079_WB02_A,Quercus_aquifolioides,Y,Quercus,IL
ILbaloot_P001_WD05_A_0,ILbaloot_P001_WD05_A,Quercus_baloot,Y,Quercus,IL
ILbaronii_F086_WH02_A_0,ILbaronii_F086_WH02_A,Quercus_baronii,Y,Quercus,IL
ILcoccifera_F082_WB12_A_0,ILcoccifera_F082_WB12_A,Quercus_coccifera,Y,Quercus,IL
ILcocciferoides_F087_WB11_A_0,ILcocciferoides_F087_WB11_A,Quercus_cocciferoides,Y,Quercus,IL
ILdolicholepis_F086_WE12_A_0,ILdolicholepis_F086_WE12_A,Quercus_dolicholepis,Y,Quercus,IL
ILengleriana_F079_WC01_A_0,ILengleriana_F079_WC01_A,Quercus_engleriana,Y,Quercus,IL
ILfimbriata_P019_WG03_HN_0,ILfimbriata_P019_WG03_HN,Quercus_fimbriata,Y,Quercus,IL
ILfloribunda_P004_WC09_A_0,ILfloribunda_P004_WC09_A,Quercus_floribunda,Y,Quercus,IL
ILfranchetii_F086_WF06_A_0,ILfranchetii_F086_WF06_A,Quercus_franchetii,Y,Quercus,IL
ILgilliana_F086_WF01_SNK_0,ILgilliana_F086_WF01_SNK,Quercus_gilliana,Y,Quercus,IL
ILgracilis_P010_WF01_SNP_0,ILgracilis_P010_WF01_SNP,Quercus_gracilis,Y,Quercus,CY
ILguyavifolia_F086_WE06_A_0,ILguyavifolia_F086_WE06_A,Quercus_guyavifolia,Y,Quercus,IL
ILhandeliana_P001_WG10_SNS_0,ILhandeliana_P001_WG10_SNS,Quercus_handeliana,Y,Quercus,IL
ILilex_P009_WD07_A_0,ILilex_P009_WD07_A,Quercus_ilex,Y,Quercus,IL
ILlanata_P011_WB01_A_0,ILlanata_P011_WB01_A,Quercus_kerrii,Y,Quercus,CY
ILlodicosa_P019_WF02_A_0,ILlodicosa_P019_WF02_A,Quercus_lodicosa,Y,Quercus,IL
ILlongispica_P009_WC12_SNP_0,ILlongispica_P009_WC12_SNP,Quercus_longispica,Y,Quercus,IL
ILmarlipoensis_P003_WE07_SNP_0,ILmarlipoensis_P003_WE07_SNP,Quercus_marlipoensis,Y,Quercus,IL
ILpannosa_F079_WE02_A_0,ILpannosa_F079_WE02_A,Quercus_pannosa,Y,Quercus,IL
ILphillyreoides_F086_WG10_A_0,ILphillyreoides_F086_WG10_A,Quercus_phillyreoides,Y,Quercus,IL
ILpseudosemecarpifolia_P005_WG10_SNP_0,ILpseudosemecarpifolia_P005_WG10_SNP,Quercus_pseudosemecarpifolia,Y,Quercus,IL
ILrehderiana_F087_WB05_A_0,ILrehderiana_F087_WB05_A,Quercus_rehderiana,Y,Quercus,IL
ILrotundifolia_P010_WB09_SNS_0,ILrotundifolia_P010_WB09_SNS,Quercus_rotundifolia,Y,Quercus,IL
ILsemecarpifolia_F086_WF08_A_0,ILsemecarpifolia_F086_WF08_A,Quercus_semecarpifolia,Y,Quercus,IL
